Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
90210	FORMYLTHFDEFORMYL-RXN	3.5.1.10	0.818	1	
90210	FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	1.5.1.6	0.818	1	
90210	FORMATETHFLIG-RXN	6.3.4.3	0.818	1	
90210	FORMATE--DIHYDROFOLATE-LIGASE-RXN	6.3.4.17	0.769	2	
90210	RXN-10056	3.5.1.102	0.557	3	
90210	RXN-17150	3.5.1.9	0.437	4	
90210	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	1.2.7.12	0.383	5	
90210	RXN-22538	1.14.13.250	0.305	6	
90210	RXN-19393	1.14.13.8	0.282	7	
90210	N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	3.5.1.68	0.256	8	
90210	FORMYLASPARTATE-DEFORMYLASE-RXN	3.5.1.8	0.251	9	
90210	FORMYLMETHIONINE-DEFORMYLASE-RXN	3.5.1.31	0.235	10	
90210	3.5.1.88-RXN	3.5.1.88	0.222	11	
90210	3.5.1.91-RXN	3.5.1.91	0.201	12	
90210	RXN-11318	3.5.1.106	0.2	13	
