Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Initial-Screening-Weighted-Score	Final-Score	
A3	RXN-23203	2.1.2	0.333	1.0	
A3	RXN-17150,ARYLFORMAMIDASE-RXN,RXN-15187,RXN-10056,RXN-12612,ARYLFORMAMIDASE-RXN,3.5.1.91-RXN	3.5.1	1.438	1.0	
A3	GARTRANSFORMYL2-RXN	6.3.1	0.104	1.0	
A3	ANTHRANILATE-N-METHYLTRANSFERASE-RXN	2.1.1	0.151	0.917	
A3	RXN-10066	6.3.4	0.21	0.875	
A3	RXN-16663,RXN-21512,RXN-13870,ANTHRANILATE-N-MALONYLTRANSFERASE-RXN,RXN-21513,2.3.1.114-RXN,RXN-13871,RXN-19524,RXN-22364,RXN-17563,RXN-16661,RXN-16658,ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	2.3.1	0.103	0.857	
A3	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	3.1.2	0.065	0.8	
A3	3.7.1.9-RXN,RXN-23667,RXN-17561,RXN-20763	3.7.1	0.099	0.741	
A3	RXN-18815,RXN1G-129	3.13.1	0.065	0.724	
A3	1.2.1.47-RXN,RXN-16756,RXN-9758	1.2.1	0.15	0.491	
