Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
A3	ARYLFORMAMIDASE-RXN	3.5.1.9	1.0	1	
A3	3.5.1.91-RXN	3.5.1.91	1.0	1	
A3	GARTRANSFORMYL2-RXN	6.3.1.21	1.0	1	
A3	2.3.1.114-RXN	2.3.1.114	0.81	2	
A3	ANTHRANILATE-N-METHYLTRANSFERASE-RXN	2.1.1.111	0.793	3	
A3	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	3.1.2.12	0.783	4	
A3	RXN-13871	2.3.1.5	0.773	5	
A3	ANTHRANILATE-N-MALONYLTRANSFERASE-RXN	2.3.1.113	0.741	6	
A3	RXN-21512,RXN-21513	2.3.1.302	0.736	7	
A3	ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	2.3.1.144	0.722	8	
A3	RXN-10056	3.5.1.102	0.678	9	
A3	FORMYLMETHIONINE-DEFORMYLASE-RXN	3.5.1.31	0.678	9	
A3	FORMYLASPARTATE-DEFORMYLASE-RXN	3.5.1.8	0.678	9	
A3	RXN-11318	3.5.1.106	0.678	9	
A3	3.5.1.88-RXN	3.5.1.88	0.678	9	
A3	N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	3.5.1.68	0.678	9	
A3	RXN-10066	6.3.4.23	0.678	9	
A3	FORMYL-COA-HYDROLASE-RXN	3.1.2.10	0.678	9	
A3	3.7.1.9-RXN	3.7.1.9	0.678	9	
A3	RXN-17561	3.7.1.M3	0.678	9	
A3	RXN-20763	3.7.1.25	0.678	9	
A3	2.1.1.113-RXN	2.1.1.113	0.662	10	
A3	RXN-11638	2.1.1.199	0.662	10	
A3	RXN0-1862	2.1.2.13	0.659	11	
A3	RXN0-5418	2.3.1.193	0.654	12	
A3	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	2.1.2.9	0.645	13	
A3	RXN-20716	2.1.2.5	0.64	14	
A3	RXN-22422	2.1.2.14	0.62	15	
A3	RXN-12378	2.1.1.215	0.605	16	
A3	RXN-12375	2.1.1.216	0.596	17	
A3	RXN-13195	2.1.1.256	0.596	17	
A3	RXN-11574	2.1.1.173	0.596	17	
A3	RXN-11576	2.1.1.172	0.596	17	
A3	RXN0-6731	2.1.1.242	0.596	17	
A3	RXN-11635	2.1.1.174	0.596	17	
A3	GART-RXN	2.1.2.2	0.564	18	
A3	RXN-14570	2.3.1.234	0.534	19	
A3	AICARTRANSFORM-RXN	2.1.2.3	0.507	20	
A3	1.2.1.30-RXN	1.2.1.30	0.48	21	
A3	RXN-16756	1.2.1.95	0.45	22	
A3	RXN-9758	1.2.1.8	0.448	23	
A3	1.2.1.47-RXN	1.2.1.47	0.445	24	
A3	RXN66-3	1.2.1.3	0.439	25	
A3	RXN0-3962	1.2.1.4	0.439	25	
A3	ARYL-ALDEHYDE-DEHYDROGENASE-RXN	1.2.1.29	0.426	26	
A3	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	1.2.1.5	0.426	26	
A3	GLYCOLALD-DEHYDROG-RXN	1.2.1.21	0.413	27	
A3	RXN-19914	1.2.1.101	0.409	28	
