Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Initial-Screening-Weighted-Score	Final-Score	
Islatravir	RXN-18057,RXN-22145,RXN-22694,RXN-18059,RXN-21899	2.4.1	0.125	1.0	
Islatravir	RXN-9459	2.5.1	0.226	1.0	
Islatravir	RXN-17765,RXN-15155,TRANS-RXN-1531,RXN-15159,RXN-14729,RXN3O-458,6PFRUCTPHOS-RXN,RXN-15091,RXN-15154,HOMOSERKIN-RXN,RXN3O-680,THIKIN-RXN,TRANS-RXN-153A,GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN,GLUCOKIN-RXN,RXN-15151,5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN,RXN-23377,2.7.1.121-RXN,URKI-RXN,NANK-RXN,RXN-15157,DOLICHOL-KINASE-RXN,RXN-15174,RXN-20648,RXN-7683,RXN-15177,RXN-15180,GLYCERONE-KINASE-RXN,TRANS-RXN-155B,RXN-15172,RXN-15167,RXN0-17,RXN-15168,TRANS-RXN-156,RXN-18594,SPHINGANINE-KINASE-RXN,RIBULOKIN-RXN,2.7.1.79-RXN,RXN-20928,RXN-19819,RXN-20934,RXN-18597,SEDOHEPTULOKINASE-RXN,N-ACYLMANNOSAMINE-KINASE-RXN,MANNKIN-RXN,RXN-14099,GLYCEROL-KIN-RXN,RXN-19915,RXN-17001,UNDECAPRENOL-KINASE-RXN,HYGROMYCIN-B-KINASE-RXN,RXN-23339,GLUCONOKIN-RXN,RXN-15150,FRUCTOKINASE-RXN,OHMETPYRKIN-RXN,RXN-17770,TRANS-RXN-165,RXN-16279,RXN-15161,PANTOTHENATE-KIN-RXN,RXN0-5116,RXN-17761,RXN-12545,RXN-18478,RXN-12007,RXN-7799,RXN-23376,RXN-15176,TRIOKINASE-RXN,MEVALONATE-KINASE-RXN,RXN-15160,GLY3KIN-RXN,ADENOSINE-KINASE-RXN,RXN-11629,RXN-15096,VIOMYCIN-KINASE-RXN,AMP--THYMIDINE-KINASE-RXN,TRANS-RXN0-540,RXN-15165,PYRIDOXKIN-RXN,ACYLGLYCEROL-KINASE-RXN,RXN1QP9-71,RXN-21730,ERYTHRITOL-KINASE-RXN,ALKYLGLYCERONE-KINASE-RXN,PNKIN-RXN,DEOXYADENOSINE-KINASE-RXN,RXN-14098,RXN-9145,RXN-18595,RXN-15343,RXN-17310,RXN-15169,CERAMIDE-KINASE-RXN,RXN0-6564,SUCROSEPHOSPHO-RXN,TRANS-RXN-157,RXN1QP9-72,RXN-15178,2.7.1.143-RXN,1PFRUCTPHOSN-RXN,PYRAMKIN-RXN,2.7.1.90-RXN,RXN-11625,TRANS-RXN-416,DEOXYGLUCONOKIN-RXN,RXN0-382,RXN-15171,RXN-12304,RXN-18596,RXN-15648,RXN-13547,RXN-23526,RXN-15184,TRANS-RXN-167A,ETHANOLAMINE-KINASE-RXN,DEOXYCYTIDINE-KINASE-RXN,RXN-12325,RXN-15143,RXN-17205,RXN-15086,TRANS-RXN-167,RXN-19397,CHOLINE-KINASE-RXN,RXN-9144,R302-RXN,PHOSPHORIBULOKINASE-RXN,POLYNUCLEOTIDE-5-HYDROXYL-KINASE-RXN,RIBOFLAVINKIN-RXN,RXN-15085,RXN-22003,RXN-12307,TAGAKIN-RXN,2.7.1.80-RXN,RXN-19824,RXN-15166,PHOSPHOGLUCOKINASE-RXN,ADP--THYMIDINE-KINASE-RXN,D-ARABINOKINASE-RXN,RXN-15175,RXN-15162,RXN0-6541,2.7.1.145-RXN,THIAZOLSYN3-RXN,RIBOKIN-RXN,RXN0-2522,D-RIBULOKIN-RXN,DEHYDDEOXGALACTKIN-RXN,RXN-15181,DEOXYGUANOSINE-KINASE-RXN,TAGATOSE-KINASE-RXN,RXN0-5223,RXN-23383,INOSINEKIN-RXN,RXN-15170,XYLULOKIN-RXN,RXN-15185,RXN-15173,KETOHEXOKINASE-RXN,RHAMNULOKIN-RXN,XYLITOL-KINASE-RXN,RXN0-5461,RXN-15092,RXN0-962,DARABKIN-RXN,TRANS-RXN-161,LYXK-RXN,RXN-15158,RXN0-7298,N-ACETYLGLUCOSAMINE-KINASE-RXN,RXN-16280,RXN-11782,RXN0-2461,DEHYDOGLUCONOKINASE-RXN,RXN-17337,RXN-10833,FUCULOKIN-RXN,RXN0-1402,TRANS-RXN-168,ALKYLGLYCEROL-KINASE-RXN,RXN-10038,RXN-11376,RXN-9296,RXN-15164,RXN-15297,RXN-18510,TRANS-RXN-169,GUANOSINEKIN-RXN,RXN-15152	2.7.1	0.428	1.0	
Islatravir	2.7.8.19-RXN,RXN66-578,PHOSPHAGLYPSYN-RXN,RXN-23273,RXN-20533,RXN-16284,RXN-18043,RXN-8078,RXN-18061,RXN-19426,RXN-18030,2.7.8.24-RXN,RXN-18046,RXN-9996,RXN-16283,PHOSPHASERSYN-RXN,RXN-17733,2.7.8.10-RXN,RXN-17731,RXN-18006,RXN4FS-1,RXN-18015,RXN-18064,RXN-11812,RXN-19630,RXN-16282,RXN-20567,RXN0-4581,RXN-15020,TEICHOICSYN8-RXN,RXN-22561,RXN-21090,RXN-21089,ETHANOLAMINEPHOSPHOTRANSFERASE-RXN,CERAMIDE-CHOLINEPHOSPHOTRANSFERASE-RXN,RXN-14405,RXN-18007,RXN-8141,2.7.8.22-RXN,RXN-19401,RXN-16286,RXN-14379,RXN2DNV-9,RXN-18047,RXN-20511,SERINE-PHOSPHOETHANOLAMINE-SYNTHASE-RXN,RXN4FS-4,RXN-22258,RXN-18033,RXN-16515,RXN-23130,RXN-23128	2.7.8	0.118	1.0	
Islatravir	SUCROSE-PHOSPHATASE-RXN,3.1.3.74-RXN,2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN,RXN-23152,RXN-19323,RXN0-3741,RXN-15663,GPH-RXN,ACETYL-COA-CARBOXYLASE-PHOSPHATASE-RXN,RXN0-5185,RXN-14025,RXN0-5292,RXN-14965,RXN-18655,RXN0-5114,RXN-18645,SEDOHEPTULOSE-BISPHOSPHATASE-RXN,PSERPHOSPHA-RXN,RXN-17730,RXN-11102,3.1.3.68-RXN,RXN-19313,HISTIDPHOS-RXN,RXN-16121,KDO-8PPHOSPHAT-RXN,MANNITOL-1-PHOSPHATASE-RXN,SORBITOL-6-PHOSPHATASE-RXN,RXN-18651,RXN-14143,RXN-19319,RXN1G-1439,RXNQT-4191,RXN-12154,RXN-14964,RXN-20566,TREHALOSEPHOSPHA-RXN,RXN-18506,RXN-8748,RIBOPHOSPHAT-RXN,RXN-14142,RXN-19322,RXN8J2-138,RXN-14704,RXN-9936,RXN-15794,RXN-20535,RXN-16030,XMPXAN-RXN,RXN-23776,RXN-11777,RXN-16788,RXN-12039,RXN0-7250,RXN-5647,3.1.3.69-RXN,RXN-14817,RXN0-5186,RXN-19708,DOLICHYL-PHOSPHATASE-RXN,RXN1G-1436,RXN-9989,RXN-23190,DHS-PHOSPHATASE-RXN,RXN-19314,RXN-19711,RXN-18611,RXN-13208,F16BDEPHOS-RXN,3.1.3.14-RXN,GLYCEROL-1-PHOSPHATASE-RXN,N-ACYLNEURAMINATE-9-PHOSPHATASE-RXN,RXN0-5187,RXN-8770,RXN-11365,RXN-7609,PHOSPHATIDATE-PHOSPHATASE-RXN,RXN-5841,RXN-23189,RXN0-4361,RXN-19315,RXN1UA-63,RXN-17380,ALKYLACETYLGLYCEROPHOSPHATASE-RXN,RXN-18659,RXN-13313,3.1.3.70-RXN,RXN66-526,RXN-14509,RXN-19320,RXN-14161,RXN-17102,RXN-17724,RXN-14475,AMP-DEPHOSPHORYLATION-RXN,RXN-20529,RXN-10011,PGPPHOSPHA-RXN,RXN0-7251,RXN1G-1438,RXN-7607,RXN-8852,RXN-7948,RXN1G-1437,RXN-20514,5-NUCLEOTID-RXN,RXN-23138,RXN-13204,RXN-15312,RXN-21067,RXN-19710,RXN3O-504,3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN,3.1.3.54-RXN,RXN0-7249,RXN-9992,RXN1UA-61,MYOSIN-LIGHT-CHAIN-PHOSPHATASE-RXN,RXN-19326,THYMIDYLATE-5-PHOSPHATASE-RXN,RXN-15703,RXN-19324,RXN-19709,RXN-14026,RXN1G-1435,RXN-17745,RXN-19310,RXN-14181,RXN-19707,RXN-14046,RXN-16517,RXN-14227,RXN-14473	3.1.3	0.287	1.0	
Islatravir	RXN-20517,PHOSCHOL-RXN,RXN-17750,RXN-20551,3.1.4.11-RXN,RXN-20538,RXN-20534,RXN-13730,RXN-20549,RXN-20518,3.1.4.51-RXN,3.1.4.2-RXN,RXN-14160,RXN-20523,RXN-17741,RXN-13732,RXN-17734,RXN-20516,RXN-12116,RXN-20515,RXN-20547,RXN-20553,RXN-17738,RXN-13731,RXN-17737,RXN-14136,RXN-10807,RXN-20550,RXN-20557,RXN-16261,RXN-13334,RXN-20556,SPHINGOMYELIN-PHOSPHODIESTERASE-RXN,RXN-20502,RXN-20519,RXN-9970,RXN-20531,SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN	3.1.4	0.08	1.0	
Islatravir	CEPHALOSPORIN-C-DEACETYLASE-RXN,RXN-9488,RXN-13543,RXN-13811,RXN-19385,ACETYLCHOLINESTERASE-RXN,RXN-8220,RXN-17577,RXN0-7013,RXN-9194,DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN,3.1.1.54-RXN,3.1.1.71-RXN,RXN-13126,3.1.1.56-RXN,RXN-17042,RXN-17054,RXN-17045,RXN-13181,RXN-9493,RXN-17047,RXN-8222,RXN-15638,DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN,3.1.1.47-RXN,RXN-20743,RXN-17053,ARYLESTERASE-RXN,RXN-17572,RXN-19911,RXN-17055,3.1.1.66-RXN,RXN-13182,RXN-17048,RXN-17046,ACETYLSALICYLATE-DEACETYLASE-RXN	3.1.1	0.615	0.92	
Islatravir	RXN-15238,RXN-11384,RXN-20471,RXN-11358,RXN-15775,2.1.1.145-RXN,RXN-11360,LOGANATE-O-METHYLTRANSFERASE-RXN,RXN-11359,RXN-12461,RXN-22766,RXN-17303,RXN-13551,RXN-10768,2.1.1.77-RXN,RXN-9825,RXN-19059,RXN-22753,RXN-11475,RXN-14453,2.1.1.100-RXN,RXN-6723,RXN0-7167,RXN-6722,RXN-8238,RXN-14831,RXN-15436	2.1.1	0.076	0.92	
Islatravir	3.4.21.57-RXN,3.4.21.112-RXN,3.4.21.25-RXN,3.4.21.107-RXN,3.4.21.70-RXN,3.4.21.62-RXN,3.4.21.80-RXN,3.4.21.36-RXN,3.4.21.35-RXN,3.4.21.64-RXN,3.4.21.50-RXN,3.4.21.79-RXN,3.4.21.99-RXN,3.4.21.37-RXN,3.4.21.102-RXN,RXN0-5103,3.4.21.63-RXN,3.4.21.19-RXN,3.4.21.100-RXN,3.4.21.66-RXN,3.4.21.91-RXN,3.4.21.76-RXN,3.4.21.71-RXN,3.4.21.34-RXN,3.4.21.118-RXN,3.4.21.90-RXN,3.4.21.12-RXN,3.4.21.48-RXN,3.4.21.61-RXN,3.4.21.10-RXN,3.4.21.82-RXN,3.4.23.27-RXN,3.4.21.108-RXN,3.4.21.81-RXN,3.4.21.93-RXN,3.4.21.78-RXN,3.4.21.49-RXN,3.4.21.59-RXN,3.4.21.67-RXN,3.4.21.39-RXN,3.4.21.65-RXN,3.4.21.106-RXN,3.4.21.117-RXN,3.4.21.94-RXN,3.4.21.96-RXN,3.4.21.20-RXN,3.4.21.97-RXN,3.4.21.26-RXN	3.4.21	0.089	0.885	
Islatravir	3.4.24.41-RXN,3.4.24.44-RXN,3.4.24.43-RXN,3.4.24.66-RXN,3.4.24.34-RXN,3.4.24.37-RXN,3.4.24.6-RXN,3.4.24.77-RXN,3.4.24.42-RXN,3.4.24.39-RXN,3.4.24.33-RXN,3.4.24.74-RXN,3.4.24.12-RXN,3.4.24.27-RXN,3.4.24.23-RXN,3.4.24.15-RXN,3.4.24.45-RXN,3.4.24.36-RXN,3.4.24.47-RXN,3.4.24.18-RXN,3.4.24.62-RXN,3.4.24.55-RXN,3.4.24.7-RXN,3.4.24.28-RXN,3.4.24.31-RXN,3.4.24.29-RXN,3.4.24.35-RXN,3.4.24.53-RXN,3.4.24.22-RXN,3.4.24.40-RXN,3.4.24.30-RXN,3.4.24.61-RXN,3.4.24.46-RXN,3.4.24.50-RXN,3.4.24.63-RXN,3.4.24.67-RXN,3.4.24.76-RXN,3.4.24.11-RXN,3.4.24.20-RXN,3.4.24.48-RXN,3.4.24.52-RXN,3.4.24.1-RXN,3.4.24.21-RXN,3.4.24.17-RXN,3.4.24.65-RXN,3.4.24.73-RXN,3.4.24.69-RXN,3.4.24.60-RXN,3.4.24.72-RXN,3.4.24.24-RXN,3.4.24.25-RXN,RXN-12014,3.4.24.51-RXN,RXN-11694,3.4.24.83-RXN,3.4.24.49-RXN	3.4.24	0.101	0.885	
