Reaction-Name	MetaCyc-Reaction-ID	Predicted-EC-number	Final-Score	Rank	
Islatravir	RXN-15247	2.5.1.119	1.0	1	
Islatravir	RXN-15245	2.5.1.118	1.0	1	
Islatravir	2.5.1.51-RXN	2.5.1.51	1.0	1	
Islatravir	RXN-18801	2.5.1.M12	1.0	1	
Islatravir	CEPHALOSPORIN-C-DEACETYLASE-RXN	3.1.1.41	1.0	1	
Islatravir	RXN-9488,RXN-9493	3.1.1.94	1.0	1	
Islatravir	RXN-13811	3.1.1.105	1.0	1	
Islatravir	RXN-19385	3.1.1.112	1.0	1	
Islatravir	ACETYLCHOLINESTERASE-RXN	3.1.1.7	1.0	1	
Islatravir	RXN-8220,RXN-8222	3.1.1.80	1.0	1	
Islatravir	RXN-17577	3.1.1.113	1.0	1	
Islatravir	DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN,ACETYLESTERASE-RXN,DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN	3.1.1.6	1.0	1	
Islatravir	RXN0-7013,RXN-19911	3.1.1.106	1.0	1	
Islatravir	3.1.1.54-RXN	3.1.1.54	1.0	1	
Islatravir	RXN-16279	2.7.1.188	0.942	2	
Islatravir	RXN-20928	2.7.1.233	0.941	3	
Islatravir	PANTOTHENATE-KIN-RXN	2.7.1.33	0.937	4	
Islatravir	RXN-11782	2.7.1.169	0.937	4	
Islatravir	RXN-18317	2.4.1.M19	0.921	5	
Islatravir	RXN-13607,RXN-19359,RXN-19360	2.4.1.17	0.921	5	
Islatravir	CHER-RXN	2.1.1.80	0.921	5	
Islatravir	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	2.1.1.11	0.921	5	
Islatravir	RXN-15155,RXN-15157	2.7.1.202	0.916	6	
Islatravir	RXN-15177,RXN-15176,RXN-15178	2.7.1.206	0.916	6	
Islatravir	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	3.1.3.63	0.916	6	
Islatravir	RXN-14432	2.4.1.299	0.912	7	
Islatravir	RXN-14446	2.4.1.300	0.912	7	
Islatravir	CINNAMATE-GLUCOSYLTRANSFERASE-RXN	2.4.1.177	0.912	7	
Islatravir	6PFRUCTPHOS-RXN	2.7.1.11	0.89	8	
Islatravir	2.7.1.90-RXN	2.7.1.90	0.89	8	
Islatravir	R302-RXN	2.7.1.146	0.89	8	
Islatravir	TAGAKIN-RXN	2.7.1.144	0.89	8	
Islatravir	F16BDEPHOS-RXN	3.1.3.11	0.89	8	
Islatravir	RXN-11587,RXN-11771	2.1.1.325	0.881	9	
Islatravir	2.7.8.19-RXN	2.7.8.19	0.857	10	
Islatravir	RXN-21089	2.7.8.28	0.857	10	
Islatravir	RXN-18061,RXN-18030,RXN-18064,TEICHOICSYN8-RXN,RXN-18033	2.7.8.M1	0.857	10	
Islatravir	RXN-11812	2.7.8.32	0.857	10	
Islatravir	3.1.4.51-RXN	3.1.4.51	0.857	10	
Islatravir	3.1.3.68-RXN	3.1.3.68	0.854	11	
Islatravir	RXN1G-1439,TREHALOSEPHOSPHA-RXN,RXN1G-1436,RXN1G-1438,RXN1G-1437,RXN1G-1435	3.1.3.12	0.854	11	
Islatravir	RXN8J2-138	3.1.3.92	0.854	11	
Islatravir	RXN-18659	3.1.3.105	0.854	11	
Islatravir	RXN66-526,RXN-15312	3.1.3.58	0.854	11	
Islatravir	RXN-14475	3.1.3.90	0.854	11	
Islatravir	3.1.3.70-RXN	3.1.3.70	0.852	12	
Islatravir	RXN-8852	3.1.3.85	0.852	12	
Islatravir	3.1.4.11-RXN,RXN-20538,RXN-20523,RXN-16261,RXN-13334,RXN-20519	3.1.4.11	0.839	13	
Islatravir	RXN66-578,RXN-20533,RXN-19426,RXN-17733,RXN-20567,RXN-20511	2.7.8.2	0.836	14	
Islatravir	RXN-16284,RXN-16283,RXN-16282,RXN-14379,RXN2DNV-9	2.7.8.43	0.836	14	
Islatravir	RXN-17731,ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	2.7.8.1	0.836	14	
Islatravir	RXN0-4581,RXN-22561,RXN-16286	2.7.8.42	0.836	14	
Islatravir	2.7.8.22-RXN	2.7.8.22	0.836	14	
Islatravir	RXN-17750,RXN-20534,RXN-17734	3.1.4.3	0.836	14	
Islatravir	RXN-18006	2.7.8.45	0.833	15	
Islatravir	RXN-8475	2.4.1.271	0.824	16	
Islatravir	RXN-9308	2.4.1.M33	0.824	16	
Islatravir	RXN-14528	2.1.1.290	0.819	17	
Islatravir	GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN	2.4.1.136	0.817	18	
Islatravir	RXN0-2441	2.1.1.144	0.817	18	
Islatravir	RXN3O-9965	2.1.1.145	0.815	19	
Islatravir	RXN-12317	2.1.1.233	0.81	20	
Islatravir	RXN-14136	3.1.4.46	0.807	21	
Islatravir	RXN-4523	2.1.1.50	0.804	22	
Islatravir	3.4.21.53-RXN	3.4.21.53	0.804	22	
Islatravir	3.4.21.92-RXN	3.4.21.92	0.804	22	
Islatravir	SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	3.1.4.12	0.801	23	
Islatravir	PHOSCHOL-RXN,RXN-20531	3.1.4.4	0.796	24	
Islatravir	RXN-17741	3.1.4.39	0.796	24	
Islatravir	3.1.4.2-RXN	3.1.4.2	0.796	24	
Islatravir	SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN	3.1.4.41	0.796	24	
Islatravir	RXN-9459	2.5.1.153	0.759	25	
Islatravir	RXN0-5127	2.4.1.M47	0.738	26	
Islatravir	RXN-20517,RXN-20518,RXN-20516,RXN-12116,RXN-20515,RXN-20553,RXN-20550,RXN-20502	3.1.4.54	0.726	27	
Islatravir	2.4.1.138-RXN	2.4.1.138	0.706	28	
Islatravir	RXN-17480,RXN-8788	2.5.1.133	0.586	29	
Islatravir	RXN-17442,RXN-17451,RXN-17466,RXN-17446,RXN-17440,RXN-17437,RXN-17438,RXN-17439,RXN-17448,RXN-17468,RXN-17447,RXN-17465,RXN-17467	2.5.1.bl	0.586	29	
Islatravir	RXN-18451	2.5.1.137	0.586	29	
Islatravir	RXN-14421	2.5.1.107	0.586	29	
Islatravir	RXN-21286,RXN1F-66,RXN-7663	2.5.1.62	0.586	29	
Islatravir	RXN0-7167	2.1.1.M28	0.511	30	
Islatravir	RXN-12461	2.1.1.229	0.508	31	
Islatravir	3.4.21.57-RXN	3.4.21.57	0.418	32	
Islatravir	3.4.21.112-RXN	3.4.21.112	0.418	32	
Islatravir	3.4.21.25-RXN	3.4.21.25	0.418	32	
Islatravir	3.4.21.107-RXN	3.4.21.107	0.418	32	
Islatravir	3.4.21.70-RXN	3.4.21.70	0.418	32	
Islatravir	3.4.21.62-RXN	3.4.21.62	0.418	32	
Islatravir	3.4.21.80-RXN	3.4.21.80	0.418	32	
Islatravir	3.4.21.36-RXN	3.4.21.36	0.418	32	
Islatravir	3.4.24.41-RXN	3.4.24.41	0.418	32	
Islatravir	3.4.24.44-RXN	3.4.24.44	0.418	32	
Islatravir	3.4.24.43-RXN	3.4.24.43	0.418	32	
Islatravir	3.4.24.66-RXN	3.4.24.66	0.418	32	
Islatravir	3.4.24.34-RXN	3.4.24.34	0.418	32	
Islatravir	3.4.24.37-RXN	3.4.24.37	0.418	32	
Islatravir	3.4.24.6-RXN	3.4.24.6	0.418	32	
Islatravir	3.4.24.77-RXN	3.4.24.77	0.418	32	
Islatravir	3.4.24.42-RXN	3.4.24.42	0.418	32	
Islatravir	3.4.24.39-RXN	3.4.24.39	0.418	32	
